condition,therapeuticarea,summary,purpose,gender,age,status,cwid,modified,sponsor,phase
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Do You Have Gout With a History of Cardiovascular or Cerebrovascular Disease?,"Researchers at the University of Kentucky Division of Rheumatology are conducting a research study to compare the safety of medications on participants that have gout, along with a history of cardiovascular or cerebrovascular diseases.","",Both Male and Female,55 and up,176088,"",,
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,"A randomized, double-blind study to compare the cardiovascular safety of allopurinol and febuxostat",A nine year study comparing the cardiovascular safety of allopurinol and febuxostat (Uloric) in patients with gout and cardiovascular comorbidities,Both Male and Female,50 and up,Recruiting,210608,"",,3
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Tolerization Reduces Intolerance to Pegloticase and Prolongs the Urate Lowering Effect (TRIPLE),Pegloticase IV Open Label 16 weeks study treatment period with opt-in dosing extension of an additional 8 weeks.,Both Male and Female,18 to 99 Years,Recruiting,212487,"",Ampel Biosolutions,2
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Gout and Heart Disease,Local study doctors are looking for people with gout and heart disease to participate in a clinical research study.,"",Both Male and Female,50 and up,187599,"",,
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Gout and Heart Disease Research Study,Local study doctors are looking for people with gout and heart disease to participate in a clinical research study.,"",Both Male and Female,50 and up,189044,"",,
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,"Do you have gout and heart, brain, or blood vessel disease?","ClinSite, the research division of Integrated Health Associates, is currently conducting a research study for people with gout and heart, brain, or blood vessel disease. The purpose of this study is to evaluate the heart safety of 2 medications that are currently approved for the treatment of high uric acid in adult patients with gout.","",Both Male and Female,55 and up,166495,"",,
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Phase III Gout Study,"This long term study evaluates the safety and efficacy of an investigational treatment compared to allopurinol in people who have both gout and cardiovascular disease. Participants will receive compensation for their time and travel; $50 for each completed office visit and $15 for each completed telephone call throughout the study. There are up to 7 scheduled visits in the first year and every 6 months thereafter. The study is expected to last approximately 5 years. Study medication, examinations and bloodwork will be provided at no cost.",Both Male and Female,N/A,Recruiting,169034,"",,3
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Feeling the Heat of Gout Flares?,"If you continue to experience painful gout flares, consider this research study of an investigational gout medication.","",Both Male and Female,18 to 75 Years,196863,"",,
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Gout And Cardiovascular Comorbidities,"Winthrop University Hospital, Clinical Trials Center is conducting a clinical research study for participants who are at least 50 years of age and have been diagnosed with gout and a history of cardiovascular disease; like stroke and or heart attack. The purpose of this research study is evaluating an investigational medication for individuals with gout and history of cardiovascular disease, such as stroke or heart attack.",Both Male and Female,50 and up,Recruiting,176843,"",,3
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Gout research study/Volunteers needed,A medical research study is being conducted at Winthrop University Hospital's Clinical Trials Center. The Clinical Trials Center is seeking adult volunteers over the age of 18 to participate. This study is being done to test the safety and effectiveness of an investigational medication designed for participants that suffer from gouty arthritis.,Both Male and Female,18 and up,Recruiting,150126,"",,3
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Gout,"The purpose of this study is to determine whether subjects with gout who receive febuxostat or allopurinol (for up to 5 years) have a higher rate of serious heart and blood vessel complications (major cardiovascular events). Examples of major cardiovascular events include heart attacks, stroke, and/or angina (chest pain due to narrowing of the blood vessels of the heart) that need to be treated urgently with a heart operation. Approximately 7,500 individuals will participate across the United States and Canada. This study involves approximately 20 visits to a local study center over a 5 year period.","",Both Male and Female,50 and up,191848,"",,
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Gout Study,"Do you suffer from gout with little to no relief? If so, you may be interested in learning more about a research trial that is evaluating a new investigational medication.",Both Male and Female,18 to 85 Years,Recruiting,185642,"",,3
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,"If you have gout, then you know the intense pain, swelling and burning a flare up can cause.","If you suffer from gout, Rapid Medical Research would like to speak to you about a clinical research study of an investigational medication.",Both Male and Female,18 and up,Recruiting,200500,"",Takeda,3
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Volunteers needed for a Gout medical research study,Gout currently affects approximately 8 million Americans. Febuxostat is an approved medication for the chronic management of Gout. The purpose of this study is to evaluate the efficacy and safety of febuxostat XR (extended release) in comparison with febuxostat IR (immediate release) in people who suffer from Gout. If you are eligible and decide to volunteer you can expect 7 office visits over approximately 3 months,"",Both Male and Female,18 to 80 Years,198652,"",,
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,"A phase 2a, Randomized, Open-Label Study to evaluate the Pharmacodynamic Effects and Safety of an investigational medication administered in combination with Allopurinol Compared with Allopurinol administered alone in adult subjects with Gout",Participation in this research study would last approximately 11 weeks. Compensation up to $4625.00 may be provided for time and travel.,"",Both Male and Female,18 to 75 Years,209830,"",,
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Gout?,You might qualify for a research study.,"",Both Male and Female,N/A,186035,"",,
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Gout,Evaluation of two approved medications for GOUT in subjects that have Cardiovascular Disease or risk of.,Both Male and Female,50 and up,Recruiting,191163,"",,3
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Gout and Heart Disease,Optimum Clinical Research is conducting a clinical study of an investigational drug for Gout and Heart Disease.,Both Male and Female,50 and up,Recruiting,165854,"",,3
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Gout and Cardiovascular Disease. Does this describe you?,"If you have been diagnosed with gout, have a history of heart disease or diabetes and are a man 50 or older or a woman 55 or older you may qualify to participate in a local clinical research study.","",Both Male and Female,55 and up,177207,"",,
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Gout Clinical Research Study,"If you suffer from gout, Advanced Clinical Research (ACR) would like to speak to you about a clinical research study of an investigational medication.",Both Male and Female,18 and up,Recruiting,205562,"",Takeda,3
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Gout & Heart Disease,Local study doctors are looking for people with gout and heart disease to participate in a clinical research study.,"",Both Male and Female,50 and up,195046,"",,
Gout (Hyperuricemia),Musculoskeletal Rheumatology Nephrology Family Medicine,Gout and Heart Disease,Local study doctors are looking for people with gout and heart disease to participate in a clinical research study.,"",Both Male and Female,55 and up,184011,"",,
Graft-Versus-Host Disease (GVHD),Oncology Immunology,GVHD,People with acute Graft versus Host Disease (GVHD are asked to participate in a research study being conducted by Montefiore Medical Center,"",Both Male and Female,2 to 17 Years,210248,"",,
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210329,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210317,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210301,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210302,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210332,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210321,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210324,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210298,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210318,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210316,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"A Phase IV, Multicenter, Open-Label Study of the Immunogenicity of Nutropin AQ® V1.1 [Somatropin (rDNA Origin) Injection] Administered Daily to Naive Growth Hormone-Deficient Children","This is a Phase IV, multicenter, open-label, single-arm study of somatropin (rDNA origin) (Nutropin AQ v1.1) in pre-pubertal children with growth hormone deficiency (GHD) naive to prior recombinant human growth hormone (rhGH) treatment. The study is designed to characterize the immunogenicity profile of Nutropin AQ v1.1 when administered as a daily subcutaneous (SC) injection for 12 months. The clinical impact of immunogenicity will also be assessed. The target sample size is 80 patients.",Both Male and Female,3 to 14 Years,Recruiting,206708,"","Genentech, Inc.",4
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210313,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210315,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210300,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210308,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210327,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210322,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210297,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210326,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210304,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210328,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210305,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210314,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210307,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210312,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210306,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210319,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210310,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210309,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210331,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210320,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210311,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210323,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210330,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,Natural History of MLIV,Subjects with MLIV are seen annually for 5 years to assess ongoing for physical and neurological changes associated with the disease.,"",Both Male and Female,N/A,192272,"",,
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210303,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210325,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210299,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210333,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of VRS-317, a Long-acting Human Growth Hormone, to Daily rhGH in a Phase 3, Randomized, One-year, Open-label, Multi-center, Non-inferiority Trial in Pre-pubertal Children With Growth Hormone Deficiency.","This study is designed as a pivotal study to compare the safety and efficacy of a selected dose regimen of VRS-317 to daily rhGH. The study is a randomized, multi-center, open label study of 12 months duration. The primary endpoint is height velocity at 12 months.",Both Male and Female,3 to 11 Years,Recruiting,209786,"",Versartis Inc.,3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210349,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210348,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210340,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210334,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210335,"","Versartis, Inc.",3
Growth Hormone Deficiencies/Abnormalities,Endocrinology Pediatrics/Neonatology,"Comparison of Somavaratan (VRS-317), a Long-acting Growth Hormone, to Daily Growth Hormone in Pediatric GHD Patients (VELOCITY)","The VELOCITY trial seeks to show how well somavaratan will help children with growth hormone deficiency grow, and how safe and tolerable somavaratan is when given to children over a period of 1 year compared to daily growth hormone treatment.",Both Male and Female,3 to 11 Years,Recruiting,210336,"","Versartis, Inc.",3
